,auth_id,name,last_name,citations,cited_by,publications,orcid
5594,57194941896,García Rebollar,Pilar,0.0,0,1.0,
5595,57202495932,Belén,Soriano,0.0,0,1.0,
5596,57208432174,I.,Lozano,2.0,2,1.0,
5597,57191958589,A. Güemes,González,0.0,0,1.0,
5598,57194593713,P. Juan,López-Herrera,11.0,11,1.0,
5599,57162467100,María,París,3.0,3,1.0,
5600,57192970926,Pilar Vizcaíno,Martínez,9.0,9,1.0,
5601,56263011000,F.,Sorribes,16.0,16,1.0,
5602,56073329500,Joaquin,Santiago,0.0,0,1.0,
5603,57206143650,Luís,Márquez,9.0,9,1.0,
5604,57190732380,Evelyn,Ospina,4.0,4,1.0,
5605,7403870106,Lorenzo,Martín,4.0,4,1.0,
5606,6504505265,J.,Artime,0.0,0,1.0,
5607,54885637300,César Porras,Amores,14.0,14,2.0,
5608,57197597596,Vladimir,Ulin,3.0,3,1.0,
5609,57202287534,Daniel,Garcia Cobena,1.0,1,1.0,
5610,57200143573,D.,Paz,3.0,3,1.0,
5611,55482366900,Sergio Sánchez,García,1.0,1,2.0,
5612,6505572207,F.,Martin-Fuentes,39.0,39,1.0,
5613,56747918400,R.,Chincilla,3.0,3,1.0,
5614,57206510484,L. A.,Torres,1.0,1,1.0,
5615,57197392261,Fernando,Ibáñez,3.0,3,1.0,
5616,55453022300,Óscar Martínez,Álvaro,8.0,8,2.0,
5617,57195307257,Enrique Azpilicueta,Astarloa,0.0,0,1.0,
5618,57202784561,Alberto,Prada,0.0,0,1.0,
5619,6701640630,A. M.,Grass,0.0,0,1.0,
5620,57207739441,Carlos Gil,Morales,1.0,1,1.0,
5621,57195450898,Daniel,Rivero-Castillo,6.0,6,1.0,
5622,57191528958,Elena Sarabia,Castelló,2.0,2,1.0,
5623,57206353556,Sara,Hernández,5.0,5,1.0,
5624,56417321800,J. M.,Montes,15.0,15,1.0,
5625,52864413100,Cristina Delgado,Quiralte,0.0,0,2.0,
5626,57190792677,J.,Montafie’S,1.0,1,1.0,
5627,56938851200,Carlos Gálvez,Del Postigo,10.0,10,1.0,
5628,56410827000,Carlos,Duelo,0.0,0,1.0,
5629,7102505082,Juan B.,Riera,32.0,32,1.0,
5630,57207817179,Lorena,Fernández,0.0,0,1.0,
5631,57192119143,Juan Antonio Hernández,Ramos,0.0,0,1.0,
5632,57201588450,A. F.,De Marcos,2.0,2,1.0,
5633,57206284457,J. A.,Cobo,49.0,49,1.0,
5634,7201391162,Lopez,Alvarez,0.0,0,1.0,
5635,56213467800,C.,Sanchez,1.0,1,1.0,
5636,57201653254,José,Antonio Cobos,2.0,2,1.0,
5637,6602519466,N.,Castellano,1.0,1,1.0,
5638,57202286626,Doris,Anabelle Bautista Loza,1.0,1,1.0,
5639,57197972655,F.,Casado,0.0,0,1.0,
5640,35363866200,M. ª.,Elena Domínguez,4.0,4,2.0,
5641,6504757586,P.,Rodriguez De Fco,1.0,1,1.0,
5642,55598435600,Rosalía,Pacheco-Torres,423.0,413,19.0,0000-0002-1452-7159
5643,57197714660,Galindo,Rubén,0.0,0,1.0,
5644,57201352986,J.,Aguirre,1.0,1,1.0,
5645,57205976073,A. J.,Navarro,3.0,3,1.0,
5646,56372320800,Juan F.,De La Torre,0.0,0,1.0,
5647,57198647015,M.,Sánchez,1.0,1,1.0,
